"STATION","NAME","DATE","DAPR","EVAP","MDPR","MNPN","MXPN","PRCP","SNOW","SNWD","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT15","WT17","WT18","WT22"
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-26",,,,,,"0.06",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-27",,,,,,"0.04","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-28",,,,,,"0.02",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-29",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-30",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-01-31",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-02",,,,,,"0.02",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-03",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-04",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-05",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-06",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-07",,,,,,"0.03",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-08",,,,,,"0.54",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-09",,,,,,"0.00",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-10",,,,,,"0.62",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-11",,,,,,"0.00",,,,,,,,,,,,,,,
"US1MEKB0045","FAYETTE 1.4 S, ME US","2017-02-12",,,,,,"0.21",,,,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-01",,,,,,"0.72","2.0","3",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-02",,,,,,"0.00","0.0","2",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-03",,,,,,"0.00","0.0","2",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-04",,,,,,"1.30","0.0","1",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-05",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-06",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-07",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-08",,,,,,"0.15","2.0","2",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-09",,,,,,"0.00","0.0","2",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-10",,,,,,"0.00","0.0","2",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-11",,,,,,"0.67","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-12",,,,,,"0.05","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-13",,,,,,"0.15","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-14",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-15",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-16",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-17",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-18",,,,,,"0.12","1.0","1",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-19",,,,,,"0.15","1.5","2",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-20",,,,,,"0.00","0.0","2",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-21",,,,,,"0.00","0.0","1",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-22",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-23",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-24",,,,,,"0.05","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-25",,,,,,"2.35","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-26",,,,,,"0.16","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-27",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-28",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-29",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-30",,,,,,"0.01","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-01-31",,,,,,"0.00","0.0","0",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-01",,,,,,"0.08","2.0","2",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-02",,,,,,"0.15","1.0","3",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-03",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-04",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-05",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-06",,,,,,"0.00","0.0","3",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-07",,,,,,"0.06","1.0","4",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-08",,,,,,"0.72","3.0","6",,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-09",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-10",,,,,,"0.56","6.0",,,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-11",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"USC00179593","WEST ROCKPORT 1 NNW, ME US","2017-02-12",,,,,,"0.25","4.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-01",,,,,,"0.11","1.5",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-02",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-03",,,,,,"0.02","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-04",,,,,,"0.94","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-05",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-06",,,,,,"0.00","0.2",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-07",,,,,,"0.01","0.2",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-08",,,,,,"0.11","1.4",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-09",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-10",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-11",,,,,,"0.20","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-12",,,,,,"0.12","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-13",,,,,,"0.22","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-14",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-15",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-16",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-17",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-18",,,,,,"0.54","0.5",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-19",,,,,,"0.03","0.1",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-20",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-21",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-22",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-23",,,,,,"0.01","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-24",,,,,,"0.98","2.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-25",,,,,,"0.36","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-26",,,,,,"0.04","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-27",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-28",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-29",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-30",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-01-31",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-01",,,,,,"0.21","3.2",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-02",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-03",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-04",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-05",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-06",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-07",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-08",,,,,,"0.70","2.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-09",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-10",,,,,,"0.50","9.0",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-11",,,,,,"0.15","2.2",,,,,,,,,,,,,,
"US1MAHS0008","WILLIAMSBURG 1.2 WSW, MA US","2017-02-12",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-01",,,,,,"0.15","2.5","16",,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-02",,,,,,"0.00","0.0","15",,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-03",,,,,,"0.00","0.0","14",,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-04",,,,,,"0.10",,,,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-05",,,,,,"0.00","0.0","12",,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-06",,,,,,"0.00","0.0","11",,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-07",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-08",,,,,,"0.17","1.1","13",,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-09",,,,,,"0.00","0.0","13",,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-10",,,,,,"0.00","0.0",,,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-11",,,,,,"0.20","0.0","11",,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-12",,,,,,"0.01","0.0","9",,,,,,,,,,,,,
"US1MEKB0044","WINTHROP 5.8 NE, ME US","2017-01-13",,,,,,"0.11","0.0",,,,,,,,,,,,,,
